"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",2536678,2500131,2486062,2487090,2503800,2474998,2470996,2413765,2255835,2258061,2329607,2372902,2415196,2458060,2508369,2547173,2581377,2627875,2659945
"20020","Dothan, AL (Metropolitan Statistical Area)",74332,73972,74707,77191,78855,80328,82333,80560,77260,76393,76925,76750,76941,77257,77970,77731,78455,79741,81396
"20100","Dover, DE (Metropolitan Statistical Area)",72004,73663,75124,78240,81729,83361,84923,84602,81628,81669,83855,84764,86585,87627,88488,90430,91893,94151,95847
"20220","Dubuque, IA (Metropolitan Statistical Area)",61990,61804,62344,63647,65285,67149,67770,67401,66382,67896,69906,71133,71678,72511,73525,72778,72836,73451,74041
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",163056,162994,162557,163221,165001,166991,169341,169040,163400,163278,164463,165114,167118,168563,169240,168576,170336,170715,171192
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",335490,335512,335976,344725,349831,361753,375705,377788,372046,370041,372166,380080,385957,401226,407881,424724,434161,446038,457392
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",67036,68786,70438,72677,74896,77436,79621,80002,77120,76353,75724,75092,74392,73902,75418,76881,77798,78544,80089
"20740","Eau Claire, WI (Metropolitan Statistical Area)",95828,95806,96732,98739,100615,103409,105103,104841,101939,102785,104747,106085,106196,107727,108525,109164,110403,111750,112887
"20940","El Centro, CA (Metropolitan Statistical Area)",59479,63149,65353,65534,67019,71933,74210,74053,72584,72573,73804,75293,77672,80244,81488,79715,79992,80859,82159
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",73306,72023,73739,74797,73784,76298,76947,76798,75095,78858,80821,78596,78173,76912,76571,77318,77250,78005,78529
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",137494,137557,140017,148000,150926,153411,152211,140901,120605,126843,130784,136452,142375,148051,151732,154721,162358,166134,162215
"21300","Elmira, NY (Metropolitan Statistical Area)",49776,48141,47038,46333,46498,47090,47911,47835,45895,45941,46425,45982,45276,45283,45076,44006,43553,43684,43630
"21340","El Paso, TX (Metropolitan Statistical Area)",324108,331527,336122,342434,351148,363333,375521,381999,382242,389852,402636,406476,411095,415532,424007,432409,438550,450307,460601
"21420","Enid, OK (Metropolitan Statistical Area)",33369,33265,33999,34452,34825,35569,36830,38102,37704,38004,38074,39161,39620,40232,39839,39709,37503,37222,37423
"21500","Erie, PA (Metropolitan Statistical Area)",161055,158749,157208,159170,161240,161898,163256,162487,156498,156247,159178,160356,160538,161041,161264,158762,157861,158433,159017
