CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
26420,"Houston-The Woodlands-Sugar Land, TX",Galveston,48,28068
26420,"Houston-The Woodlands-Sugar Land, TX",Houston,48,35000
26420,"Houston-The Woodlands-Sugar Land, TX",Sugar Land,48,70808
26420,"Houston-The Woodlands-Sugar Land, TX",The Woodlands,48,72656
26580,"Huntington-Ashland, WV-KY-OH",Ashland,21,2368
26580,"Huntington-Ashland, WV-KY-OH",Huntington,54,39460
26620,"Huntsville, AL",Huntsville,1,37000
26820,"Idaho Falls, ID",Idaho Falls,16,39700
26900,"Indianapolis-Carmel-Anderson, IN",Anderson,18,1468
26900,"Indianapolis-Carmel-Anderson, IN",Carmel,18,10342
26900,"Indianapolis-Carmel-Anderson, IN",Indianapolis city (balance),18,36003
26980,"Iowa City, IA",Iowa City,19,38595
27060,"Ithaca, NY",Ithaca,36,38077
27100,"Jackson, MI",Jackson,26,41420
27140,"Jackson, MS",Jackson,28,36000
27180,"Jackson, TN",Jackson,47,37640
27260,"Jacksonville, FL",Jacksonville,12,35000
27340,"Jacksonville, NC",Jacksonville,37,34200
27500,"Janesville-Beloit, WI",Beloit,55,6500
27500,"Janesville-Beloit, WI",Janesville,55,37825
27620,"Jefferson City, MO",Jefferson City,29,37000
27740,"Johnson City, TN",Johnson City,47,38320
27780,"Johnstown, PA",Johnstown,42,38288
27860,"Jonesboro, AR",Jonesboro,5,35710
27900,"Joplin, MO",Joplin,29,37592
27980,"Kahului-Wailuku-Lahaina, HI",Kahului,15,22700
27980,"Kahului-Wailuku-Lahaina, HI",Lahaina,15,42950
27980,"Kahului-Wailuku-Lahaina, HI",Wailuku,15,77450
28020,"Kalamazoo-Portage, MI",Kalamazoo,26,42160
28020,"Kalamazoo-Portage, MI",Portage,26,65560
28100,"Kankakee, IL",Kankakee,17,38934
28140,"Kansas City, MO-KS",Kansas City,20,36000
28140,"Kansas City, MO-KS",Lenexa,20,39350
28140,"Kansas City, MO-KS",Overland Park,20,53775
28140,"Kansas City, MO-KS",Kansas City,29,38000
28420,"Kennewick-Richland, WA",Kennewick,53,35275
28420,"Kennewick-Richland, WA",Richland,53,58235
28660,"Killeen-Temple, TX",Killeen,48,39148
28660,"Killeen-Temple, TX",Temple,48,72176
28700,"Kingsport-Bristol, TN-VA",Bristol,47,8540
28700,"Kingsport-Bristol, TN-VA",Kingsport,47,39560
28740,"Kingston, NY",Kingston,36,39727
28940,"Knoxville, TN",Knoxville,47,40000
29020,"Kokomo, IN",Kokomo,18,40392
29100,"La Crosse-Onalaska, WI-MN",La Crosse,55,40775
29100,"La Crosse-Onalaska, WI-MN",Onalaska,55,59925
29180,"Lafayette, LA",Lafayette,22,40735
