CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
15500,,,"Burlington, NC",Metropolitan Statistical Area,151131,151155,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509,276,1261,573,897,1222,1653,3246,2993,3238,2995,479,1760,1708,1798,1730,1779,1819,1857,2008,1976,391,1459,1494,1591,1548,1636,1693,1637,1661,1646,-3,0,-32,-17,-7,-1,17,10,7,10
15540,,,"Burlington-South Burlington, VT",Metropolitan Statistical Area,211261,211264,211538,213235,213962,214827,215676,217152,217447,218975,219939,220411,274,1697,727,865,849,1476,295,1528,964,472,574,2144,2237,2215,2270,2221,2175,2189,2008,2087,324,1405,1462,1487,1508,1653,1585,1607,1651,1600,-26,-1,-46,-37,-43,-18,-1,-6,-5,-5
15680,,,"California-Lexington Park, MD",Metropolitan Statistical Area,105151,105144,105761,107566,108800,109224,109913,110985,111750,112487,112720,113510,617,1805,1234,424,689,1072,765,737,233,790,363,1484,1391,1381,1391,1513,1437,1340,1371,1319,202,648,699,752,756,780,788,810,893,874,22,4,-18,-4,-16,-12,-5,-5,-1,-3
15940,,,"Canton-Massillon, OH",Metropolitan Statistical Area,404422,404425,404218,403331,403429,403365,403675,402433,401068,399327,398330,397520,-207,-887,98,-64,310,-1242,-1365,-1741,-997,-810,1141,4382,4323,4324,4585,4519,4497,4398,4307,4254,1015,4395,4258,4461,4272,4569,4444,4778,4646,4395,-31,-14,-79,-70,-75,-31,-9,-11,-14,-17
15980,,,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,618754,618755,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577,1694,10604,13144,15637,17398,22412,23005,17351,14470,16107,1536,6264,6398,6363,6362,6633,6764,6555,6886,6760,1464,6066,6049,6180,6346,6630,6926,7216,7646,7950,-4,14,292,267,402,265,89,59,33,71
16020,,,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,96275,96270,96447,96982,97210,97177,97405,97316,97109,96819,96868,96765,177,535,228,-33,228,-89,-207,-290,49,-103,290,1155,1197,1139,1147,1141,1105,1123,1078,1080,200,1033,919,966,982,1034,1035,1067,984,948,2,-1,-6,7,-10,-4,-3,3,-8,-1
16060,,,"Carbondale-Marion, IL",Metropolitan Statistical Area,139157,139148,139409,139956,138698,140077,139658,139419,138634,137352,136694,135764,261,547,-1258,1379,-419,-239,-785,-1282,-658,-930,377,1587,1535,1588,1584,1656,1624,1531,1463,1431,240,1366,1356,1374,1323,1329,1320,1392,1421,1409,-12,1,65,11,9,1,8,8,0,2
16180,,,"Carson City, NV",Metropolitan Statistical Area,55274,55269,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916,-288,-305,-364,-586,356,-14,79,385,670,714,143,585,550,574,548,616,616,634,563,598,187,633,657,698,629,677,902,764,661,637,18,-1,-6,12,3,-7,1,0,3,1
16220,,,"Casper, WY",Metropolitan Statistical Area,75450,75448,75470,76399,78565,81103,81377,82137,80909,79586,79175,79858,22,929,2166,2538,274,760,-1228,-1323,-411,683,259,1028,1042,1141,1215,1180,1133,1064,981,953,186,664,657,714,701,733,737,722,693,734,-6,3,69,61,-11,-8,7,13,1,0
16300,,,"Cedar Rapids, IA",Metropolitan Statistical Area,257940,257948,258440,261028,261916,262706,264300,266312,268224,270653,272061,273032,492,2588,888,790,1594,2012,1912,2429,1408,971,891,3133,3222,3197,3215,3422,3347,3306,3248,3214,447,2032,2059,2121,2086,2213,2222,2198,2243,2266,-30,-4,-42,-18,-53,-22,-17,-8,-12,-13
16540,,,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,149618,149631,149925,150934,151482,151945,152607,153048,153705,154376,154579,155027,294,1009,548,463,662,441,657,671,203,448,495,1861,1937,1784,1885,1859,1855,1841,1747,1730,294,1395,1387,1434,1407,1577,1546,1592,1665,1632,-18,-6,-28,-32,-34,-24,-12,-9,-7,-9
16580,,,"Champaign-Urbana, IL",Metropolitan Statistical Area,217810,217806,218255,219876,221131,222854,224351,225732,226722,226847,226284,226033,449,1621,1255,1723,1497,1381,990,125,-563,-251,652,2485,2598,2511,2632,2618,2581,2520,2439,2405,336,1391,1324,1455,1403,1459,1469,1551,1493,1548,-6,12,26,9,6,11,8,27,17,17
16620,,,"Charleston, WV",Metropolitan Statistical Area,278009,277985,277805,276817,276704,275412,273606,270858,268130,264227,260280,257074,-180,-988,-113,-1292,-1806,-2748,-2728,-3903,-3947,-3206,770,3134,3214,3221,3186,2953,2907,2836,2707,2631,878,3531,3311,3470,3498,3607,3493,3663,3653,3551,-28,-12,-56,-32,-4,3,-3,0,2,-2
16700,,,"Charleston-North Charleston, SC",Metropolitan Statistical Area,664607,664645,667450,681262,696839,711272,726836,745185,761578,775537,788122,802122,2805,13812,15577,14433,15564,18349,16393,13959,12585,14000,2152,9035,9189,9052,9308,9788,9551,9439,9331,9350,1147,4885,4894,5061,5193,5614,5650,6015,6399,6526,88,65,335,230,277,189,64,51,31,48
16740,,,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,2243960,2243963,2250121,2281230,2318671,2358660,2400483,2447898,2499697,2550373,2592950,2636883,6158,31109,37441,39989,41823,47415,51799,50676,42577,43933,7294,29572,29546,29422,29789,30742,31238,31340,31168,31214,3920,16648,16599,17672,17847,18634,18873,19363,20229,20609,-40,58,389,350,376,262,135,122,51,66
16820,,,"Charlottesville, VA",Metropolitan Statistical Area,201559,201569,201891,203617,205532,206755,209187,211494,213675,216104,217335,218615,322,1726,1915,1223,2432,2307,2181,2429,1231,1280,608,2204,2221,2224,2307,2240,2266,2276,2352,2290,424,1480,1477,1637,1554,1729,1652,1704,1692,1726,-14,-3,-9,-22,-14,-9,-7,-3,-3,-3
