NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"El Centro, CA",0.1,0.6,0.4,-0.1,0.9,0.5,0.7,0.8,-0.1,-0.2
"Elizabethtown-Fort Knox, KY",1.0,1.0,0.1,0.5,-0.4,-2.4,0.6,1.0,1.8,0.5
"Elkhart-Goshen, IN",-0.1,0.4,0.3,0.6,0.6,0.8,0.3,0.3,0.7,0.4
"Elmira, NY",0.1,0.0,0.3,-1.1,-1.2,-0.5,-1.2,-1.1,-1.0,-0.6
"El Paso, TX",0.4,2.0,1.5,-0.2,0.3,-0.2,0.4,0.3,-0.0,0.3
"Enid, OK",0.3,-0.0,1.0,1.6,0.7,0.7,-1.2,-1.4,-0.8,-0.1
"Erie, PA",0.1,0.2,0.1,-0.3,-0.5,-0.4,-0.7,-1.0,-0.7,-0.7
"Eugene-Springfield, OR",0.1,0.6,0.3,0.1,0.7,1.1,1.9,1.7,0.9,0.9
"Evansville, IN-KY",0.1,0.3,0.2,0.3,0.2,0.0,0.1,-0.2,-0.0,0.1
"Fairbanks, AK",0.7,-0.1,2.2,0.6,-1.7,0.4,1.0,-1.0,-1.1,-1.8
"Fargo, ND-MN",0.3,1.8,2.0,2.6,1.9,2.2,1.8,1.8,1.1,0.7
"Farmington, NM",0.1,-0.4,0.0,-0.2,-0.3,-0.7,-0.2,-0.8,-1.1,-1.2
"Fayetteville, NC",1.9,1.7,0.7,1.3,0.3,0.3,0.9,0.1,0.9,0.8
"Fayetteville-Springdale-Rogers, AR",0.5,2.3,2.0,1.9,2.0,2.3,2.4,2.3,1.8,1.8
"Flagstaff, AZ",0.1,-0.3,1.4,0.4,0.6,1.0,1.0,0.4,1.1,0.7
"Flint, MI",-0.2,-0.7,-0.9,-0.6,-0.7,-0.6,-0.4,-0.4,-0.2,-0.2
"Florence, SC",0.0,0.1,0.1,-0.0,0.2,-0.1,-0.2,-0.2,-0.2,-0.1
"Florence-Muscle Shoals, AL",0.1,-0.1,0.1,-0.0,0.2,-0.4,0.0,0.2,0.2,0.2
"Fond du Lac, WI",-0.0,0.2,-0.0,-0.0,0.2,-0.0,0.3,0.2,0.6,0.4
"Fort Collins, CO",0.3,1.6,1.8,1.7,2.4,2.8,1.7,1.5,1.9,1.7
"Fort Smith, AR-OK",0.0,0.4,0.1,-0.4,-0.1,0.2,0.1,0.4,0.0,0.0
"Fort Wayne, IN",0.2,0.8,0.5,0.6,0.5,0.6,0.5,0.6,0.9,1.0
"Fresno, CA",0.2,0.8,0.6,0.7,0.9,0.9,0.8,0.9,0.7,0.7
"Gadsden, AL",0.0,-0.1,-0.1,-0.4,-0.5,-0.4,-0.1,0.1,-0.4,-0.3
"Gainesville, FL",0.1,0.5,0.4,0.2,0.9,1.4,1.7,0.9,1.1,0.4
"Gainesville, GA",0.2,1.2,1.0,1.2,1.4,1.6,2.0,1.4,1.3,1.4
"Gettysburg, PA",0.1,-0.0,-0.2,-0.1,0.2,0.4,0.1,0.6,0.5,-0.1
"Glens Falls, NY",0.1,-0.2,-0.3,-0.4,-0.4,-0.5,-0.3,-0.2,-0.3,-0.3
"Goldsboro, NC",0.2,0.9,0.4,0.0,-0.0,-0.2,-0.1,-1.0,0.2,-0.1
"Grand Forks, ND-MN",0.2,-0.4,0.9,1.6,0.5,0.6,0.3,-0.0,-0.4,-0.9
"Grand Island, NE",0.3,0.8,0.9,0.6,0.8,0.1,0.4,-0.2,0.0,0.1
"Grand Junction, CO",-0.3,0.6,0.1,-0.1,-0.0,0.6,1.1,0.9,1.2,0.8
