,_id,CBSA,MSA,2024_Pop_ROC,2024_Unem_Rate,2024_Emp_ROC,2024_GDP_ROC,2024_Bus_ROC,2024_CPI,2024_AMW_ROC,2024_LP_ROC,Pop_Score,Unem_Score,Emp_Score,GDP_Score,Bus_Score,CPI_Score,AMW_Score,LP_Score,Total_Score,Overall_Rank
42,60413a1d2eee1da2ff615c02,41500,"Salinas, CA",0.2637878086259765,5.605070576961089,0.08633104517864032,16.692389181904513,6.769825918762089,299.7671195513341,-0.09604302727621974,-0.2963813712916508,164.0,11.0,134.0,285.0,229.0,147.0,18.0,89.0,1077.0,332.0
43,60413a1d2eee1da2ff615c03,42020,"San Luis Obispo-Paso Robles, CA",0.5252356849433615,2.06286250850768,0.062193236065353326,18.45865825599956,13.150684931506849,299.7671195513341,8.443332691937657,-0.2739293835321963,175.0,359.5,131.0,320.0,279.0,147.0,221.0,94.0,1726.5,118.0
44,60413a1d2eee1da2ff615c04,42660,"Seattle-Tacoma-Bellevue, WA",6.981879947585898,2.06286250850768,7.629274311601741,24.156301145489454,17.2291727281544,299.7671195513341,11.082383873794917,1.7430020817263365,343.0,359.5,341.0,378.0,309.0,147.0,354.0,355.0,2586.5,1.0
45,60413a1d2eee1da2ff615c05,43580,"Sioux City, IA-NE-SD",-0.017968085915093884,2.368448946018618,-0.06008183560366707,8.251702938421383,-1.2706480304955527,255.83376730001717,12.49830431833597,-1.605350019475943,60.0,297.5,32.0,103.0,96.0,192.0,374.0,22.0,1176.5,309.0
46,60413a1d2eee1da2ff615c06,11180,"Ames, IA",0.5399226597271202,2.0167081473922117,2.146991260603416,7.23235430956232,9.30576070901034,255.83376730001717,10.661850839515814,1.298942260988839,176.0,368.0,221.0,91.0,251.0,192.0,342.0,339.0,1980.0,40.0
47,60413a1d2eee1da2ff615c07,10500,"Albany, GA",-0.00204462740073334,4.9704392068951275,0.002401363974737651,12.47747309483438,18.327402135231317,265.9255038284625,8.074577861163228,-0.17701690992714297,78.0,37.0,97.0,170.0,320.0,177.0,200.0,121.0,1200.0,298.0
48,60413a1d2eee1da2ff615c08,12620,"Bangor, ME",-0.1616846754475905,1.9940741798633883,0.11904889584830382,10.884420523860783,19.413919413919416,289.63399347688846,10.038379530916844,-0.4503207157792761,39.0,369.0,141.0,139.0,325.0,162.0,312.0,67.0,1554.0,177.0
49,60413a1d2eee1da2ff615c09,13780,"Binghamton, NY",-1.8877963559581217,3.3723140622535985,-0.013320482985041881,8.66336711882713,-3.674540682414698,289.63399347688846,9.83135916482634,-0.3719337525218938,7.0,117.5,69.0,109.0,54.0,162.0,303.0,78.0,899.5,364.0
50,60413a1d2eee1da2ff615c0a,20020,"Dothan, AL",0.057579774769346136,3.8601958798912572,0.38208265762445326,16.277561646628772,-13.270485859318345,265.9255038284625,8.663062177439173,1.338610523346587,138.0,78.5,174.0,274.0,12.0,177.0,235.0,341.0,1429.5,225.5
51,60413a1d2eee1da2ff615c0b,21780,"Evansville, IN-KY",0.026976761899925737,2.3907516185187947,0.0,13.047256635303725,11.73036093418259,255.83376730001717,6.870519713261649,-0.8703780223994756,127.0,288.5,93.5,186.0,268.0,192.0,135.5,40.0,1330.5,256.0
