,CBSA,year,Population,NAME
253,12940,2013,841986,"Baton Rouge, LA"
254,12940,2014,846827,"Baton Rouge, LA"
255,12940,2015,851167,"Baton Rouge, LA"
256,12940,2016,856723,"Baton Rouge, LA"
257,12940,2017,854295,"Baton Rouge, LA"
258,12940,2018,854526,"Baton Rouge, LA"
259,12940,2019,854884,"Baton Rouge, LA"
260,14860,2010,919355,"Bridgeport-Stamford-Norwalk, CT"
261,14860,2011,928000,"Bridgeport-Stamford-Norwalk, CT"
262,14860,2012,935099,"Bridgeport-Stamford-Norwalk, CT"
263,14860,2013,939924,"Bridgeport-Stamford-Norwalk, CT"
264,14860,2014,944196,"Bridgeport-Stamford-Norwalk, CT"
265,14860,2015,944943,"Bridgeport-Stamford-Norwalk, CT"
266,14860,2016,944347,"Bridgeport-Stamford-Norwalk, CT"
267,14860,2017,943038,"Bridgeport-Stamford-Norwalk, CT"
268,14860,2018,943971,"Bridgeport-Stamford-Norwalk, CT"
269,14860,2019,943332,"Bridgeport-Stamford-Norwalk, CT"
270,16980,2010,9470634,"Chicago-Naperville-Elgin, IL-IN-WI"
271,16980,2011,9500870,"Chicago-Naperville-Elgin, IL-IN-WI"
272,16980,2012,9528090,"Chicago-Naperville-Elgin, IL-IN-WI"
273,16980,2013,9550194,"Chicago-Naperville-Elgin, IL-IN-WI"
274,16980,2014,9560430,"Chicago-Naperville-Elgin, IL-IN-WI"
275,16980,2015,9552554,"Chicago-Naperville-Elgin, IL-IN-WI"
276,16980,2016,9533662,"Chicago-Naperville-Elgin, IL-IN-WI"
277,16980,2017,9514113,"Chicago-Naperville-Elgin, IL-IN-WI"
278,16980,2018,9484158,"Chicago-Naperville-Elgin, IL-IN-WI"
279,16980,2019,9458539,"Chicago-Naperville-Elgin, IL-IN-WI"
280,21140,2010,197451,"Elkhart-Goshen, IN"
281,21140,2011,198279,"Elkhart-Goshen, IN"
282,21140,2012,198968,"Elkhart-Goshen, IN"
283,21140,2013,200205,"Elkhart-Goshen, IN"
284,21140,2014,201423,"Elkhart-Goshen, IN"
285,21140,2015,202995,"Elkhart-Goshen, IN"
286,21140,2016,203642,"Elkhart-Goshen, IN"
287,21140,2017,204194,"Elkhart-Goshen, IN"
288,21140,2018,205617,"Elkhart-Goshen, IN"
289,21140,2019,206341,"Elkhart-Goshen, IN"
290,21300,2010,88895,"Elmira, NY"
291,21300,2011,88899,"Elmira, NY"
292,21300,2012,89137,"Elmira, NY"
293,21300,2013,88199,"Elmira, NY"
294,21300,2014,87177,"Elmira, NY"
295,21300,2015,86705,"Elmira, NY"
296,21300,2016,85644,"Elmira, NY"
297,21300,2017,84736,"Elmira, NY"
298,21300,2018,83935,"Elmira, NY"
299,21300,2019,83456,"Elmira, NY"
300,21340,2010,807048,"El Paso, TX"
301,21340,2011,823308,"El Paso, TX"
302,21340,2012,835667,"El Paso, TX"
303,21340,2013,834203,"El Paso, TX"
304,21340,2014,837089,"El Paso, TX"
305,21340,2015,835439,"El Paso, TX"
306,21340,2016,839203,"El Paso, TX"
307,21340,2017,842005,"El Paso, TX"
308,21340,2018,841613,"El Paso, TX"
309,21340,2019,844124,"El Paso, TX"
310,21420,2010,60765,"Enid, OK"
311,21420,2011,60763,"Enid, OK"
312,21420,2012,61399,"Enid, OK"
313,21420,2013,62370,"Enid, OK"
314,21420,2014,62790,"Enid, OK"
315,21420,2015,63248,"Enid, OK"
316,21420,2016,62493,"Enid, OK"
317,21420,2017,61600,"Enid, OK"
318,21420,2018,61095,"Enid, OK"
319,21420,2019,61056,"Enid, OK"
320,21500,2010,280799,"Erie, PA"
321,21500,2011,281327,"Erie, PA"
322,21500,2012,281532,"Erie, PA"
323,21500,2013,280717,"Erie, PA"
324,21500,2014,279423,"Erie, PA"
325,21500,2015,278174,"Erie, PA"
326,21500,2016,276170,"Erie, PA"
327,21500,2017,273558,"Erie, PA"
328,21500,2018,271544,"Erie, PA"
329,21500,2019,269728,"Erie, PA"
330,24660,2010,725264,"Greensboro-High Point, NC"
331,24660,2011,730095,"Greensboro-High Point, NC"
332,24660,2012,735475,"Greensboro-High Point, NC"
333,24660,2013,740604,"Greensboro-High Point, NC"
334,24660,2014,746497,"Greensboro-High Point, NC"
335,24660,2015,751285,"Greensboro-High Point, NC"
336,24660,2016,758635,"Greensboro-High Point, NC"
337,24660,2017,762071,"Greensboro-High Point, NC"
338,24660,2018,766473,"Greensboro-High Point, NC"
339,24660,2019,771851,"Greensboro-High Point, NC"
340,25860,2010,365565,"Hickory-Lenoir-Morganton, NC"
341,25860,2011,364478,"Hickory-Lenoir-Morganton, NC"
342,25860,2012,363670,"Hickory-Lenoir-Morganton, NC"
343,25860,2013,363379,"Hickory-Lenoir-Morganton, NC"
344,25860,2014,363035,"Hickory-Lenoir-Morganton, NC"
345,25860,2015,363346,"Hickory-Lenoir-Morganton, NC"
346,25860,2016,364798,"Hickory-Lenoir-Morganton, NC"
347,25860,2017,367085,"Hickory-Lenoir-Morganton, NC"
348,25860,2018,368449,"Hickory-Lenoir-Morganton, NC"
349,25860,2019,369711,"Hickory-Lenoir-Morganton, NC"
350,27980,2010,155020,"Kahului-Wailuku-Lahaina, HI"
351,27980,2011,156936,"Kahului-Wailuku-Lahaina, HI"
352,27980,2012,158889,"Kahului-Wailuku-Lahaina, HI"
353,27980,2013,161004,"Kahului-Wailuku-Lahaina, HI"
354,27980,2014,163036,"Kahului-Wailuku-Lahaina, HI"
355,27980,2015,163904,"Kahului-Wailuku-Lahaina, HI"
356,27980,2016,165350,"Kahului-Wailuku-Lahaina, HI"
357,27980,2017,166146,"Kahului-Wailuku-Lahaina, HI"
358,27980,2018,166972,"Kahului-Wailuku-Lahaina, HI"
359,27980,2019,167417,"Kahului-Wailuku-Lahaina, HI"
360,30780,2010,702294,"Little Rock-North Little Rock-Conway, AR"
361,30780,2011,710682,"Little Rock-North Little Rock-Conway, AR"
362,30780,2012,717665,"Little Rock-North Little Rock-Conway, AR"
363,30780,2013,723159,"Little Rock-North Little Rock-Conway, AR"
364,30780,2014,728190,"Little Rock-North Little Rock-Conway, AR"
365,30780,2015,730889,"Little Rock-North Little Rock-Conway, AR"
366,30780,2016,734166,"Little Rock-North Little Rock-Conway, AR"
367,30780,2017,737557,"Little Rock-North Little Rock-Conway, AR"
368,30780,2018,740081,"Little Rock-North Little Rock-Conway, AR"
369,30780,2019,742384,"Little Rock-North Little Rock-Conway, AR"
370,34100,2010,136945,"Morristown, TN"
371,34100,2011,137560,"Morristown, TN"
372,34100,2012,137753,"Morristown, TN"
373,34100,2013,137924,"Morristown, TN"
374,34100,2014,138280,"Morristown, TN"
375,34100,2015,139212,"Morristown, TN"
376,34100,2016,139924,"Morristown, TN"
377,34100,2017,140898,"Morristown, TN"
378,34100,2018,141778,"Morristown, TN"
379,34100,2019,142749,"Morristown, TN"
380,35100,2010,127423,"New Bern, NC"
381,35100,2011,128135,"New Bern, NC"
382,35100,2012,128409,"New Bern, NC"
383,35100,2013,127172,"New Bern, NC"
384,35100,2014,126778,"New Bern, NC"
385,35100,2015,125371,"New Bern, NC"
386,35100,2016,124985,"New Bern, NC"
387,35100,2017,124703,"New Bern, NC"
388,35100,2018,124584,"New Bern, NC"
389,35100,2019,124284,"New Bern, NC"
390,37900,2010,416051,"Peoria, IL"
391,37900,2011,416687,"Peoria, IL"
392,37900,2012,416866,"Peoria, IL"
393,37900,2013,418092,"Peoria, IL"
394,37900,2014,415479,"Peoria, IL"
395,37900,2015,412856,"Peoria, IL"
396,37900,2016,410754,"Peoria, IL"
397,37900,2017,406913,"Peoria, IL"
398,37900,2018,403328,"Peoria, IL"
399,37900,2019,400561,"Peoria, IL"
400,40340,2010,207222,"Rochester, MN"
401,40340,2011,208473,"Rochester, MN"
402,40340,2012,209547,"Rochester, MN"
403,40340,2013,211502,"Rochester, MN"
404,40340,2014,212659,"Rochester, MN"
405,40340,2015,213933,"Rochester, MN"
406,40340,2016,216163,"Rochester, MN"
407,40340,2017,217993,"Rochester, MN"
408,40340,2018,219814,"Rochester, MN"
409,40340,2019,221921,"Rochester, MN"
410,40660,2010,96431,"Rome, GA"
411,40660,2011,96161,"Rome, GA"
412,40660,2012,95940,"Rome, GA"
413,40660,2013,95880,"Rome, GA"
414,40660,2014,95868,"Rome, GA"
415,40660,2015,96186,"Rome, GA"
416,40660,2016,96698,"Rome, GA"
417,40660,2017,97500,"Rome, GA"
418,40660,2018,97964,"Rome, GA"
419,40660,2019,98498,"Rome, GA"
420,40900,2010,2153613,"Sacramento-Roseville-Folsom, CA"
421,40900,2011,2172948,"Sacramento-Roseville-Folsom, CA"
422,40900,2012,2190266,"Sacramento-Roseville-Folsom, CA"
423,40900,2013,2210512,"Sacramento-Roseville-Folsom, CA"
424,40900,2014,2235640,"Sacramento-Roseville-Folsom, CA"
425,40900,2015,2263121,"Sacramento-Roseville-Folsom, CA"
426,40900,2016,2291533,"Sacramento-Roseville-Folsom, CA"
427,40900,2017,2319572,"Sacramento-Roseville-Folsom, CA"
428,40900,2018,2341940,"Sacramento-Roseville-Folsom, CA"
429,40900,2019,2363730,"Sacramento-Roseville-Folsom, CA"
430,41100,2010,138389,"St. George, UT"
431,41100,2011,141249,"St. George, UT"
432,41100,2012,144139,"St. George, UT"
433,41100,2013,146987,"St. George, UT"
434,41100,2014,151081,"St. George, UT"
435,41100,2015,154650,"St. George, UT"
436,41100,2016,159352,"St. George, UT"
437,41100,2017,165929,"St. George, UT"
438,41100,2018,171567,"St. George, UT"
439,41100,2019,177556,"St. George, UT"
440,41500,2010,416373,"Salinas, CA"
441,41500,2011,420456,"Salinas, CA"
