,MSA,year,value
2443,"Bloomington, IN",2021,2.886824105
2826,"Bloomington, IN",2022,2.66797143
3209,"Bloomington, IN",2023,2.470958198
3592,"Bloomington, IN",2024,2.293605039
310,"Bloomsburg-Berwick, PA",2015,5.4
693,"Bloomsburg-Berwick, PA",2016,4.9
1076,"Bloomsburg-Berwick, PA",2017,4.4
1459,"Bloomsburg-Berwick, PA",2018,4
1842,"Bloomsburg-Berwick, PA",2019,3.7
2225,"Bloomsburg-Berwick, PA",2020,3.405649562
2608,"Bloomsburg-Berwick, PA",2021,3.116842296
2991,"Bloomsburg-Berwick, PA",2022,2.833473813
3374,"Bloomsburg-Berwick, PA",2023,2.555441691
3757,"Bloomsburg-Berwick, PA",2024,2.282645436
311,"Boise City, ID",2015,4
694,"Boise City, ID",2016,3.7
1077,"Boise City, ID",2017,3.3
1460,"Boise City, ID",2018,3
1843,"Boise City, ID",2019,2.8
2226,"Boise City, ID",2020,2.613674408
2609,"Boise City, ID",2021,2.440088276
2992,"Boise City, ID",2022,2.278370582
3375,"Boise City, ID",2023,2.127709857
3758,"Boise City, ID",2024,1.987350113
34,"Boston-Cambridge-Newton, MA-NH",2015,4.3
417,"Boston-Cambridge-Newton, MA-NH",2016,4
800,"Boston-Cambridge-Newton, MA-NH",2017,3.5
1183,"Boston-Cambridge-Newton, MA-NH",2018,3.2
1566,"Boston-Cambridge-Newton, MA-NH",2019,3
1949,"Boston-Cambridge-Newton, MA-NH",2020,2.832168897
2332,"Boston-Cambridge-Newton, MA-NH",2021,2.6913325
2715,"Boston-Cambridge-Newton, MA-NH",2022,2.573148861
3098,"Boston-Cambridge-Newton, MA-NH",2023,2.473974408
3481,"Boston-Cambridge-Newton, MA-NH",2024,2.390751619
266,"Boulder, CO ",2015,3.2
649,"Boulder, CO ",2016,2.8
1032,"Boulder, CO ",2017,2.6
1415,"Boulder, CO ",2018,2.4
1798,"Boulder, CO ",2019,2.4
2181,"Boulder, CO ",2020,2.4
2564,"Boulder, CO ",2021,2.4
2947,"Boulder, CO ",2022,2.4
3330,"Boulder, CO ",2023,2.4
3713,"Boulder, CO ",2024,2.4
267,"Bowling Green, KY",2015,4.8
650,"Bowling Green, KY",2016,4.5
1033,"Bowling Green, KY",2017,4
1416,"Bowling Green, KY",2018,3.5
1799,"Bowling Green, KY",2019,3.3
2182,"Bowling Green, KY",2020,3.136312627
2565,"Bowling Green, KY",2021,3.002344845
2948,"Bowling Green, KY",2022,2.892700674
3331,"Bowling Green, KY",2023,2.802963842
3714,"Bowling Green, KY",2024,2.729519911
2,"Bremerton-Silverdale-Port Orchard, WA",2015,5.7
385,"Bremerton-Silverdale-Port Orchard, WA",2016,5.2
768,"Bremerton-Silverdale-Port Orchard, WA",2017,4.7
1151,"Bremerton-Silverdale-Port Orchard, WA",2018,4.2
1534,"Bremerton-Silverdale-Port Orchard, WA",2019,3.9
1917,"Bremerton-Silverdale-Port Orchard, WA",2020,3.611339614
2300,"Bremerton-Silverdale-Port Orchard, WA",2021,3.33359022
2683,"Bremerton-Silverdale-Port Orchard, WA",2022,3.066339396
3066,"Bremerton-Silverdale-Port Orchard, WA",2023,2.809190309
3449,"Bremerton-Silverdale-Port Orchard, WA",2024,2.561761128
35,"Bridgeport-Stamford-Norwalk, CT",2015,5.6
418,"Bridgeport-Stamford-Norwalk, CT",2016,5.1
801,"Bridgeport-Stamford-Norwalk, CT",2017,4.6
1184,"Bridgeport-Stamford-Norwalk, CT",2018,4.2
1567,"Bridgeport-Stamford-Norwalk, CT",2019,3.8
1950,"Bridgeport-Stamford-Norwalk, CT",2020,3.403249829
2333,"Bridgeport-Stamford-Norwalk, CT",2021,3.009723081
2716,"Bridgeport-Stamford-Norwalk, CT",2022,2.619393567
3099,"Bridgeport-Stamford-Norwalk, CT",2023,2.23223531
3482,"Bridgeport-Stamford-Norwalk, CT",2024,1.848222545
47,"Brownsville-Harlingen, TX",2015,7.1
430,"Brownsville-Harlingen, TX",2016,6.6
813,"Brownsville-Harlingen, TX",2017,5.7
1196,"Brownsville-Harlingen, TX",2018,5.4
1579,"Brownsville-Harlingen, TX",2019,5.3
1962,"Brownsville-Harlingen, TX",2020,5.234581598
2345,"Brownsville-Harlingen, TX",2021,5.191785924
2728,"Brownsville-Harlingen, TX",2022,5.163789678
3111,"Brownsville-Harlingen, TX",2023,5.145474982
3494,"Brownsville-Harlingen, TX",2024,5.1334938
170,"Brunswick, GA",2015,6.3
553,"Brunswick, GA",2016,5.9
936,"Brunswick, GA",2017,5.2
1319,"Brunswick, GA",2018,4.7
1702,"Brunswick, GA",2019,4.5
2085,"Brunswick, GA",2020,4.339772073
2468,"Brunswick, GA",2021,4.211407129
2851,"Brunswick, GA",2022,4.108568885
3234,"Brunswick, GA",2023,4.026181092
3617,"Brunswick, GA",2024,3.960176965
146,"Buffalo-Cheektowaga, NY",2015,5.5
529,"Buffalo-Cheektowaga, NY",2016,5.1
912,"Buffalo-Cheektowaga, NY",2017,4.5
1295,"Buffalo-Cheektowaga, NY",2018,4.1
1678,"Buffalo-Cheektowaga, NY",2019,3.7
2061,"Buffalo-Cheektowaga, NY",2020,3.330474182
2444,"Buffalo-Cheektowaga, NY",2021,2.989100856
2827,"Buffalo-Cheektowaga, NY",2022,2.673735213
