NAME,Rank_Total
"Waco, TX",1881.5
"Walla Walla, WA",1169
"Warner Robins, GA",1781
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1822
"Waterloo-Cedar Falls, IA",1473
"Watertown-Fort Drum, NY",801
"Wausau-Weston, WI",1684.5
"Weirton-Steubenville, WV-OH",889
"Wenatchee, WA",1697
"Wheeling, WV-OH",1207.5
"Wichita Falls, TX",979.5
"Wichita, KS",1807
"Williamsport, PA",885
"Wilmington, NC",2098
"Winchester, VA-WV",1595.5
"Winston-Salem, NC",1447.5
"Worcester, MA-CT",1900.5
"Yakima, WA",1936
"York-Hanover, PA",1166
"Youngstown-Warren-Boardman, OH-PA",900
"Yuba City, CA",1832
"Yuma, AZ",1159
