CBSA,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
29460,"Lakeland-Winter Haven, FL",603102,609948,615453,622633,634398,648523,665823,685368,706597,724777
29540,"Lancaster, PA",520319,523957,526878,530012,533289,535811,538160,541332,543969,545724
29620,"Lansing-East Lansing, MI",534899,536605,537005,538089,540028,541271,545146,548380,548674,550391
29700,"Laredo, TX",251370,255935,260595,264430,267465,269865,272301,273691,275120,276652
29740,"Las Cruces, NM",210097,213126,214450,214288,213933,214034,214663,216174,217278,218195
29820,"Las Vegas-Henderson-Paradise, NV",1952587,1961925,1989224,2017193,2053134,2096717,2138836,2181635,2226115,2266715
29940,"Lawrence, KS",111198,112479,113313,114713,116445,118141,119662,120281,121109,122259
30020,"Lawton, OK",131569,132255,132696,131113,130909,130011,127676,127649,126348,126415
30140,"Lebanon, PA",133664,134529,135545,135804,136538,137479,138480,139553,141339,141793
30300,"Lewiston, ID-WA",61040,61409,61413,61927,62031,62108,62422,62798,62872,62990
30340,"Lewiston-Auburn, ME",107708,107439,107486,107223,107358,107124,107296,107399,107914,108277
30460,"Lexington-Fayette, KY",473412,478930,485236,490906,495137,501469,507387,512381,514938,517056
30620,"Lima, OH",106358,105988,105244,105055,104848,104095,103613,103093,102725,102351
30700,"Lincoln, NE",302961,306619,310328,314103,319634,323090,327409,330975,333800,336374
30780,"Little Rock-North Little Rock-Conway, AR",702294,710682,717665,723159,728190,730889,734166,737557,740081,742384
30860,"Logan, UT-ID",126167,127591,128693,129827,130804,132652,135521,137703,140104,142165
30980,"Longview, TX",280487,282427,283056,282589,283219,283767,283641,284602,285315,286657
31020,"Longview, WA",102358,102309,101663,101483,101790,102999,104740,106805,108752,110593
31080,"Los Angeles-Long Beach-Anaheim, CA",12838417,12925753,13013443,13097434,13166609,13234696,13270694,13278000,13249879,13214799
31140,"Louisville/Jefferson County, KY-IN",1204655,1211869,1220183,1232178,1239354,1246231,1252525,1259553,1262023,1265108
31180,"Lubbock, TX",292241,295338,297793,301167,306056,310001,313780,317094,319239,322257
31340,"Lynchburg, VA",252969,254190,255725,256832,257953,259447,260537,261813,262893,263566
31420,"Macon-Bibb County, GA",232199,232707,232734,231225,230441,229795,229148,228985,229594,229996
31460,"Madera, CA",150986,151675,151527,151370,153456,153576,153956,155423,156882,157327
31540,"Madison, WI",606625,613159,619719,626833,633369,640198,648388,655250,659927,664865
31700,"Manchester-Nashua, NH",401055,402774,404344,405281,407275,408985,411333,413204,414630,417025
31740,"Manhattan, KS",128521,130746,137731,136294,135665,136989,134000,131667,131698,130285
31860,"Mankato, MN",96844,97325,97994,97718,98670,99199,100075,100968,101577,101927
31900,"Mansfield, OH",124162,123144,122633,122314,121999,121688,121242,120430,120987,121154
32580,"McAllen-Edinburg-Mission, TX",779149,795517,808334,818619,829819,839667,848960,856249,862298,868707
32780,"Medford, OR",203341,204747,205852,207179,209189,211403,214366,216746,219411,220944
32820,"Memphis, TN-MS-AR",1317489,1323741,1331396,1332114,1333432,1334790,1336204,1338582,1342497,1346045
32900,"Merced, CA",256721,259297,260867,262026,264419,266353,267628,271096,274151,277680
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",5583394,5668271,5745743,5822754,5893858,5969135,6055686,6118155,6143837,6166488
33140,"Michigan City-La Porte, IN",111459,111317,111304,111423,111735,110835,110222,109842,109981,109888
33220,"Midland, MI",83651,83805,83721,83651,83492,83662,83422,83314,83223,83156
33260,"Midland, TX",141783,145108,152312,157628,162187,167974,169466,170849,178186,182603
33340,"Milwaukee-Waukesha, WI",1556678,1561296,1567248,1571732,1575002,1576496,1576004,1574444,1573995,1575179
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3340007,3373392,3405952,3440782,3476192,3503728,3538527,3575699,3610061,3640043
33540,"Missoula, MT",109467,110245,111042,111900,112801,114122,116349,117834,118640,119600
33660,"Mobile, AL",430941,430423,430962,430815,431017,431294,431566,430567,430310,429536
33700,"Modesto, CA",515145,517560,520424,523451,528015,533211,539255,544717,548126,550660
33740,"Monroe, LA",204675,204886,205151,205454,205570,205668,205319,203894,202138,200261
33780,"Monroe, MI",151936,151496,150804,150139,149847,149353,149159,149449,150174,150500
33860,"Montgomery, AL",375119,375549,374872,374114,373476,373365,373865,374174,373022,373290
34060,"Morgantown, WV",130308,132678,134813,135948,137396,138523,139403,139608,139204,139044
34100,"Morristown, TN",136945,137560,137753,137924,138280,139212,139924,140898,141778,142749
34580,"Mount Vernon-Anacortes, WA",116944,117578,117714,118255,119966,121559,123603,125860,127835,129205
34620,"Muncie, IN",117665,117901,117027,116831,116487,115767,115657,115246,114297,114135
34740,"Muskegon, MI",171913,170026,170159,172273,172254,172447,173227,173645,173599,173566
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",378343,385650,393299,403705,416065,431198,447337,463514,480985,496901
34900,"Napa, CA",136759,137691,138538,139580,140405,140862,140840,139878,138789,137744
34940,"Naples-Marco Island, FL",322581,327629,332233,338987,347211,356041,365445,372678,378201,384902
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1650831,1674534,1703609,1735012,1768350,1804671,1841294,1874515,1904726,1934317
35100,"New Bern, NC",127423,128135,128409,127172,126778,125371,124985,124703,124584,124284
35300,"New Haven-Milford, CT",863357,863871,864566,862820,862885,860186,857901,857748,856971,854757
35380,"New Orleans-Metairie, LA",1195324,1214008,1226887,1239584,1248905,1260281,1267613,1270326,1270133,1270530
35620,"New York-Newark-Jersey City, NY-NJ-PA",18923407,19052774,19149689,19226449,19280929,19320968,19334778,19322607,19276644,19216182
35660,"Niles, MI",156737,156885,156621,156129,155977,155022,154325,154128,153790,153401
35840,"North Port-Sarasota-Bradenton, FL",703354,709775,720281,731796,747228,767309,788341,805186,820716,836995
35980,"Norwich-New London, CT",274004,273037,274091,272976,271462,269636,268403,267419,266285,265206
36100,"Ocala, FL",331331,332286,333873,335083,338005,342182,347469,353339,359062,365579
36140,"Ocean City, NJ",97212,96494,96228,95498,94907,94160,93655,93129,92446,92039
36220,"Odessa, TX",137075,139642,144495,149656,154588,159903,157858,156951,161960,166223
36260,"Ogden-Clearfield, UT",599740,605591,612185,621224,630767,640334,652476,664040,673660,683864
36420,"Oklahoma City, OK",1257793,1277045,1297857,1320148,1336256,1357178,1372985,1381492,1393605,1408950
36500,"Olympia-Lacey-Tumwater, WA",253001,256386,258527,261852,264909,267978,273714,280269,286056,290536
36540,"Omaha-Council Bluffs, NE-IA",867671,876022,884555,893864,903335,913073,923431,931987,940970,949442
36740,"Orlando-Kissimmee-Sanford, FL",2139161,2176054,2225636,2270149,2324391,2388509,2455583,2517777,2574838,2608147
36780,"Oshkosh-Neenah, WI",167073,167493,168525,169283,169324,169246,169629,170394,170878,171907
36980,"Owensboro, KY",114770,115255,115972,116373,116529,117521,118092,118455,118879,119440
37100,"Oxnard-Thousand Oaks-Ventura, CA",825097,830099,833516,838136,842297,845802,847323,849044,848142,846006
37340,"Palm Bay-Melbourne-Titusville, FL",543965,544359,546966,550255,555548,565746,576874,587769,595203,601942
37460,"Panama City, FL",169206,169555,171757,174596,178289,181488,183634,184736,186240,174705
37620,"Parkersburg-Vienna, WV",92698,92643,92390,92360,92259,92139,91476,90846,89991,89339
37860,"Pensacola-Ferry Pass-Brent, FL",450946,455139,461613,467086,470628,475537,481367,487298,494399,502629
37900,"Peoria, IL",416051,416687,416866,418092,415479,412856,410754,406913,403328,400561
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5970899,5996232,6016616,6030134,6046382,6056816,6066661,6078522,6091208,6102434
38060,"Phoenix-Mesa-Chandler, AZ",4204204,4253037,4329756,4403121,4488970,4578519,4673336,4758748,4849209,4948203
38220,"Pine Bluff, AR",100107,99052,97423,95769,94882,94022,92380,90875,89246,87804
38300,"Pittsburgh, PA",2357090,2360417,2360443,2359803,2356189,2347757,2340222,2329004,2322653,2317600
38340,"Pittsfield, MA",131317,130547,130284,129488,128856,127858,127067,126353,125901,124944
38540,"Pocatello, ID",90892,91421,91585,91246,91265,91871,92357,93088,94374,95489
38860,"Portland-South Portland, ME",513911,516070,517632,519987,523989,525831,528912,531899,535232,538500
38900,"Portland-Vancouver-Hillsboro, OR-WA",2232181,2262834,2288465,2311015,2343994,2381660,2426575,2454815,2473350,2492412
