,CBSA,year,Population
794,14860,2012,935099
795,16980,2012,9528090
796,21140,2012,198968
797,21300,2012,89137
798,21340,2012,835667
799,21420,2012,61399
800,21500,2012,281532
801,24660,2012,735475
802,25860,2012,363670
803,27980,2012,158889
804,30780,2012,717665
805,34100,2012,137753
806,35100,2012,128409
807,37900,2012,416866
808,40340,2012,209547
809,40660,2012,95940
810,40900,2012,2190266
811,41100,2012,144139
812,41500,2012,424788
813,42020,2012,274160
814,42660,2012,3558829
815,43580,2012,143723
816,11180,2012,118139
817,10500,2012,153976
818,12620,2012,153347
819,13780,2012,248945
820,20020,2012,147448
821,21780,2012,313422
822,26300,2012,96986
823,27620,2012,150391
824,30980,2012,283056
825,31080,2012,13013443
826,31860,2012,97994
827,37100,2012,833516
828,39660,2012,130075
829,39820,2012,177875
830,41940,2012,1894452
831,43340,2012,407435
832,44100,2012,212095
833,49340,2012,924856
834,12060,2012,5444473
835,14020,2012,162852
836,15940,2012,403429
837,17980,2012,322721
838,22420,2012,418193
839,24780,2012,172980
840,27100,2012,159962
841,27340,2012,190678
842,30020,2012,132696
843,30460,2012,485236
844,34980,2012,1703609
845,37340,2012,546966
846,38060,2012,4329756
847,39380,2012,160721
848,40580,2012,150862
849,41860,2012,4455473
850,42200,2012,429699
851,45940,2012,368554
852,47580,2012,173592
853,48620,2012,628159
854,12980,2012,134737
855,13380,2012,204863
856,13820,2012,1067563
857,14260,2012,637425
858,18020,2012,79001
859,20220,2012,95159
860,25500,2012,128449
861,25940,2012,193145
862,26580,2012,370972
863,26620,2012,430056
864,29620,2012,537005
865,29820,2012,1989224
866,31340,2012,255725
867,33340,2012,1567248
868,36140,2012,96228
869,39460,2012,162744
870,41060,2012,190562
871,43780,2012,318296
872,45300,2012,2843636
873,45540,2012,101669
874,46700,2012,419674
875,47220,2012,156934
876,48260,2012,122680
877,49660,2012,558530
878,11260,2012,391932
879,12700,2012,214788
880,17660,2012,142084
881,19340,2012,382431
882,22220,2012,462291
883,22540,2012,101788
884,23580,2012,184102
885,24140,2012,124559
886,24340,2012,1013655
887,26140,2012,139180
888,27260,2012,1377607
889,27500,2012,160065
890,27860,2012,124292
891,28020,2012,255353
892,29340,2012,201110
893,33660,2012,430962
894,33740,2012,205151
895,36980,2012,115972
896,38300,2012,2360443
897,39300,2012,1605741
898,39900,2012,431208
899,41740,2012,3174335
900,42540,2012,563704
901,42700,2012,98222
902,46060,2012,993052
903,46220,2012,242328
904,46300,2012,101128
905,47300,2012,449779
906,11020,2012,126544
907,12260,2012,576206
908,12580,2012,2754637
909,13220,2012,125110
910,17300,2012,287393
911,18580,2012,413199
912,19140,2012,142259
913,19180,2012,80862
914,19780,2012,626778
915,20940,2012,176575
916,22140,2012,129756
917,25220,2012,123646
918,26380,2012,208885
919,28740,2012,181538
920,29700,2012,260595
921,30860,2012,128693
922,31020,2012,101663
923,31460,2012,151527
924,31700,2012,404344
925,37620,2012,92390
926,48060,2012,120235
927,48540,2012,146527
928,13020,2012,106967
929,13140,2012,389614
930,13740,2012,170942
931,16580,2012,221131
932,22380,2012,136146
933,24300,2012,147317
934,25980,2012,80406
935,27180,2012,179857
936,30700,2012,310328
937,31180,2012,297793
938,31740,2012,137731
939,33700,2012,520424
940,33860,2012,374872
941,34820,2012,393299
942,38220,2012,97423
943,38540,2012,91585
944,38860,2012,517632
945,38940,2012,431912
946,40140,2012,4334716
947,40220,2012,310479
948,41540,2012,381216
949,41620,2012,1123748
950,43420,2012,132017
951,44420,2012,118463
952,45500,2012,149609
953,46140,2012,952484
954,47020,2012,96447
955,47940,2012,168811
956,10780,2012,154400
957,11700,2012,430945
958,12100,2012,274629
959,14540,2012,162450
960,16540,2012,151482
961,19740,2012,2650274
962,22020,2012,217610
963,23060,2012,394225
964,23460,2012,104278
965,29100,2012,135307
966,29180,2012,474205
967,29420,2012,203347
968,30300,2012,61413
969,33220,2012,83721
970,34060,2012,134813
971,35840,2012,720281
972,36420,2012,1297857
973,43100,2012,114767
974,43300,2012,121854
975,46660,2012,144121
976,14460,2012,4656593
977,15380,2012,1134619
978,16060,2012,138698
979,16220,2012,78565
980,16620,2012,276704
981,16820,2012,205532
982,17420,2012,117673
983,17780,2012,234148
984,19430,2012,801603
985,22520,2012,147232
986,23420,2012,945045
987,23540,2012,308240
988,24580,2012,310605
989,25180,2012,273429
990,31420,2012,232734
991,33100,2012,5745743
992,33260,2012,152312
993,37860,2012,461613
994,38900,2012,2288465
995,42340,2012,361745
996,44140,2012,699061
997,44220,2012,137171
998,45220,2012,375272
999,47380,2012,256938
1000,47460,2012,59329
1001,49180,2012,646794
1002,10180,2012,167442
1003,10580,2012,874698
1004,12220,2012,148567
1005,11500,2012,117190
1006,14500,2012,304570
1007,14740,2012,254339
1008,17820,2012,669448
1009,19460,2012,153908
1010,19820,2012,4300864
1011,20260,2012,290176
1012,21660,2012,355075
1013,24020,2012,128420
1014,28940,2012,825007
1015,29540,2012,526878
1016,32780,2012,205852
1017,32820,2012,1331396
1018,33540,2012,111042
1019,34620,2012,117027
1020,34900,2012,138538
1021,39150,2012,211990
1022,40060,2012,1211015
1023,40420,2012,345819
1024,43620,2012,237032
1025,44300,2012,155826
1026,44940,2012,142126
1027,45820,2012,234407
1028,46520,2012,977994
1029,47260,2012,1734121
1030,47900,2012,5878942
1031,48900,2012,262759
1032,49020,2012,130910
1033,10420,2012,702109
1034,10740,2012,901939
1035,14100,2012,85472
1036,16740,2012,2318671
1037,16940,2012,94697
1038,17860,2012,196540
1039,18880,2012,246952
1040,25260,2012,150991
1041,25540,2012,1215307
1042,26980,2012,159006
1043,27780,2012,141536
1044,28140,2012,2038586
1045,29020,2012,82839
1046,29460,2012,615453
1047,29940,2012,113313
1048,30140,2012,135545
1049,30620,2012,105244
1050,31140,2012,1220183
1051,35300,2012,864566
1052,36220,2012,144495
1053,39580,2012,1187848
1054,39740,2012,413518
1055,44060,2012,518930
1056,46340,2012,214811
1057,48140,2012,162870
1058,15980,2012,644197
1059,16700,2012,696839
1060,20500,2012,581735
1061,22500,2012,206041
1062,24540,2012,264131
1063,27740,2012,200473
1064,28700,2012,308623
1065,33140,2012,111304
1066,33780,2012,150804
1067,35380,2012,1226887
1068,35660,2012,156621
1069,35980,2012,274091
1070,36100,2012,333873
1071,36500,2012,258527
1072,36540,2012,884555
